baron_fst,baron_kills,champ_fst,champ_kills,drg_fst,drg_kill,inhib_fst,inhib_kills,rf_fst,rf_kills,tw_fst,tw_kills,teamId,win,gameDuration
False,0.0,False,30.0,False,2.0,False,0.0,False,0.0,False,2.0,100.0,False,1724
True,1.0,True,36.0,False,2.0,True,1.0,True,1.0,True,9.0,100.0,True,1705
False,0.0,True,21.0,False,0.0,False,0.0,False,0.0,False,0.0,100.0,False,1471
False,0.0,False,27.0,True,2.0,True,3.0,True,2.0,True,11.0,100.0,True,1276
False,0.0,True,26.0,False,2.0,False,0.0,True,1.0,False,4.0,100.0,False,1716
False,0.0,True,40.0,False,0.0,False,1.0,False,0.0,True,4.0,100.0,False,1200
False,0.0,False,10.0,False,0.0,False,0.0,False,0.0,False,2.0,100.0,False,1212
False,0.0,True,63.0,False,0.0,True,3.0,False,0.0,False,4.0,100.0,True,1410
False,0.0,False,18.0,True,1.0,False,0.0,False,0.0,False,1.0,100.0,False,1413
True,1.0,False,36.0,True,2.0,True,3.0,True,2.0,True,11.0,100.0,True,1542
False,1.0,False,31.0,True,5.0,True,1.0,True,2.0,True,7.0,100.0,True,1867
False,0.0,False,5.0,False,0.0,False,0.0,False,0.0,False,0.0,100.0,False,965
False,0.0,True,40.0,True,3.0,True,1.0,False,1.0,True,9.0,100.0,True,1560
False,0.0,False,14.0,False,0.0,False,0.0,False,0.0,False,1.0,100.0,False,1291
False,1.0,True,33.0,True,3.0,False,0.0,False,0.0,False,4.0,100.0,False,2039
False,0.0,True,32.0,False,1.0,True,1.0,True,1.0,True,8.0,100.0,True,1235
False,0.0,False,64.0,False,0.0,False,1.0,False,0.0,False,4.0,100.0,True,1274
False,0.0,True,50.0,False,0.0,True,2.0,False,0.0,True,2.0,100.0,True,1106
True,1.0,True,32.0,True,3.0,True,1.0,False,0.0,False,8.0,100.0,True,1655
False,0.0,False,7.0,False,0.0,False,0.0,True,1.0,True,2.0,100.0,False,1120
False,0.0,False,38.0,False,2.0,False,0.0,True,2.0,False,3.0,100.0,False,1998
False,0.0,False,33.0,True,2.0,False,1.0,True,1.0,False,7.0,100.0,True,2082
False,0.0,False,38.0,True,4.0,False,1.0,False,0.0,False,9.0,100.0,True,2051
False,0.0,False,13.0,True,1.0,False,0.0,False,0.0,False,2.0,100.0,False,1736
False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,100.0,False,203
False,0.0,True,15.0,True,2.0,False,0.0,True,1.0,True,4.0,100.0,True,918
False,0.0,False,18.0,False,0.0,False,0.0,False,0.0,False,2.0,100.0,False,1671
False,0.0,True,27.0,False,0.0,False,0.0,True,1.0,True,3.0,100.0,False,1629
True,2.0,True,31.0,False,0.0,False,1.0,True,2.0,True,9.0,100.0,True,1855
True,1.0,True,30.0,False,1.0,True,1.0,True,2.0,True,8.0,100.0,True,1601
False,0.0,True,12.0,True,2.0,False,0.0,True,1.0,True,4.0,100.0,True,920
False,0.0,False,18.0,True,2.0,False,0.0,False,1.0,False,1.0,100.0,False,1479
False,0.0,True,37.0,False,0.0,False,0.0,False,0.0,False,1.0,100.0,False,1070
True,1.0,True,36.0,True,3.0,True,1.0,False,0.0,True,8.0,100.0,True,1768
False,0.0,False,15.0,False,0.0,False,0.0,True,1.0,False,3.0,100.0,False,1306
False,0.0,True,25.0,False,2.0,False,0.0,True,2.0,True,5.0,100.0,False,2022
True,1.0,True,25.0,True,3.0,False,0.0,True,2.0,False,4.0,100.0,False,1942
False,0.0,True,16.0,True,1.0,False,0.0,True,2.0,False,2.0,100.0,False,1406
False,0.0,True,15.0,True,3.0,True,3.0,True,2.0,True,11.0,100.0,True,1299
False,0.0,False,38.0,True,3.0,True,1.0,True,2.0,True,8.0,100.0,True,1769
False,0.0,True,17.0,True,1.0,False,0.0,True,1.0,True,5.0,100.0,False,1422
True,1.0,True,43.0,True,3.0,True,3.0,False,1.0,True,11.0,100.0,True,1651
False,0.0,False,16.0,False,0.0,False,0.0,False,0.0,False,0.0,100.0,False,1335
False,0.0,True,47.0,True,2.0,False,0.0,True,2.0,False,5.0,100.0,False,2080
False,0.0,True,26.0,True,1.0,False,0.0,True,2.0,True,4.0,100.0,False,1888
True,2.0,False,37.0,False,3.0,False,1.0,True,1.0,False,7.0,100.0,True,2508
True,1.0,True,34.0,True,3.0,True,2.0,True,1.0,True,10.0,100.0,True,1618
False,0.0,True,53.0,False,0.0,False,0.0,False,0.0,False,1.0,100.0,False,1027
True,1.0,True,42.0,False,2.0,True,2.0,True,2.0,True,10.0,100.0,True,1809
True,1.0,True,33.0,True,2.0,False,0.0,True,1.0,False,2.0,100.0,False,2025
True,1.0,True,21.0,False,0.0,True,1.0,True,2.0,True,7.0,100.0,True,1466
False,0.0,True,10.0,False,0.0,False,0.0,False,0.0,False,0.0,100.0,False,922
True,1.0,False,34.0,True,3.0,True,1.0,True,2.0,True,6.0,100.0,True,1489
False,0.0,True,47.0,False,0.0,False,2.0,False,0.0,False,2.0,100.0,False,1114
True,1.0,True,37.0,True,3.0,True,2.0,False,1.0,False,7.0,100.0,True,1760
True,1.0,True,25.0,False,0.0,False,0.0,False,0.0,False,3.0,100.0,False,1921
False,0.0,False,21.0,True,2.0,False,0.0,False,1.0,False,3.0,100.0,False,1998
False,0.0,True,17.0,True,1.0,False,0.0,True,1.0,True,5.0,100.0,False,1422
True,1.0,True,36.0,True,3.0,True,1.0,False,0.0,True,8.0,100.0,True,1768
True,2.0,False,29.0,False,3.0,True,1.0,True,1.0,True,11.0,100.0,True,2165
True,3.0,False,41.0,False,2.0,True,3.0,False,1.0,True,8.0,100.0,False,2584
False,0.0,False,22.0,False,0.0,False,0.0,True,1.0,False,1.0,100.0,False,1661
False,0.0,False,26.0,False,0.0,False,0.0,False,0.0,False,0.0,100.0,False,1738
False,0.0,False,12.0,False,0.0,False,0.0,True,1.0,True,1.0,100.0,False,1344
False,0.0,True,11.0,False,0.0,False,0.0,True,1.0,True,5.0,100.0,False,1231
False,0.0,False,1.0,False,0.0,False,0.0,False,0.0,False,0.0,100.0,False,687
False,0.0,True,10.0,False,0.0,False,0.0,False,0.0,False,0.0,100.0,False,922
False,0.0,False,11.0,False,0.0,False,0.0,True,1.0,True,2.0,100.0,False,1672
True,1.0,True,37.0,True,3.0,True,2.0,False,1.0,False,7.0,100.0,True,1760
False,0.0,False,18.0,True,1.0,False,0.0,False,0.0,False,1.0,100.0,False,1413
True,1.0,True,27.0,False,2.0,True,2.0,True,2.0,True,9.0,100.0,True,1465
False,0.0,True,34.0,False,0.0,False,0.0,False,0.0,False,0.0,100.0,False,1063
True,1.0,True,21.0,False,0.0,True,1.0,True,2.0,True,7.0,100.0,True,1466
True,2.0,False,47.0,False,4.0,True,2.0,True,1.0,False,9.0,100.0,True,1910
True,1.0,False,25.0,True,4.0,True,2.0,False,0.0,False,6.0,100.0,True,1528
True,1.0,True,35.0,True,3.0,True,1.0,True,2.0,False,7.0,100.0,True,1695
False,1.0,True,44.0,True,4.0,True,2.0,True,1.0,True,10.0,100.0,True,2291
False,0.0,True,25.0,False,0.0,False,0.0,True,2.0,True,3.0,100.0,False,1659
True,2.0,True,33.0,True,3.0,False,0.0,False,1.0,True,4.0,100.0,False,2254
False,0.0,True,19.0,False,1.0,False,0.0,True,1.0,True,1.0,100.0,False,1575
False,0.0,False,41.0,True,3.0,False,0.0,False,0.0,True,4.0,100.0,False,2260
False,0.0,False,22.0,False,2.0,True,1.0,True,2.0,True,9.0,100.0,False,1783
True,2.0,True,55.0,False,3.0,True,6.0,False,1.0,True,11.0,100.0,True,2033
False,0.0,False,20.0,True,1.0,False,0.0,False,0.0,False,1.0,100.0,True,923
False,0.0,False,38.0,True,3.0,True,1.0,True,2.0,True,8.0,100.0,True,1769
False,0.0,False,15.0,True,3.0,False,0.0,False,0.0,True,3.0,100.0,False,1805
True,1.0,False,24.0,False,0.0,True,2.0,True,1.0,False,9.0,100.0,True,1680
False,1.0,False,32.0,True,4.0,True,2.0,True,2.0,True,10.0,100.0,True,2047
False,0.0,True,20.0,False,0.0,False,0.0,True,2.0,False,3.0,100.0,False,1708
False,0.0,False,3.0,True,2.0,False,0.0,False,0.0,False,0.0,100.0,False,924
True,1.0,True,36.0,False,3.0,True,3.0,False,1.0,False,11.0,100.0,True,1748
False,0.0,False,38.0,False,2.0,False,0.0,True,2.0,False,3.0,100.0,False,1998
False,0.0,False,10.0,False,0.0,False,0.0,False,0.0,False,2.0,100.0,False,1212
True,1.0,True,29.0,True,3.0,True,2.0,True,2.0,True,8.0,100.0,True,1493
True,2.0,False,34.0,False,1.0,True,3.0,False,0.0,False,11.0,100.0,True,2002
False,0.0,True,46.0,True,1.0,True,1.0,True,1.0,True,7.0,100.0,True,1360
False,0.0,True,29.0,False,0.0,False,0.0,True,1.0,False,2.0,100.0,False,1593
False,0.0,True,42.0,False,1.0,True,2.0,True,2.0,True,10.0,100.0,True,1381
False,0.0,True,16.0,False,1.0,False,0.0,False,0.0,False,3.0,100.0,False,1501
True,2.0,True,38.0,False,1.0,True,1.0,True,2.0,True,8.0,100.0,True,2110
False,0.0,False,9.0,False,0.0,False,0.0,False,0.0,False,0.0,100.0,False,1421
True,1.0,False,32.0,False,2.0,True,3.0,False,1.0,False,11.0,100.0,True,1563
False,0.0,True,29.0,False,2.0,False,0.0,False,1.0,False,2.0,100.0,False,2083
True,2.0,False,42.0,False,0.0,False,1.0,False,0.0,False,7.0,100.0,True,2126
False,0.0,True,22.0,True,1.0,False,0.0,False,0.0,False,1.0,100.0,False,1627
False,0.0,True,27.0,False,0.0,False,0.0,True,2.0,False,3.0,100.0,False,1801
False,1.0,False,31.0,True,5.0,True,1.0,True,2.0,True,7.0,100.0,True,1867
False,0.0,False,41.0,False,0.0,False,0.0,False,0.0,False,0.0,100.0,False,1015
True,2.0,False,36.0,True,4.0,False,2.0,True,2.0,True,10.0,100.0,True,2816
